Epoch 10: MAE=0.0330, Val_MAE=0.0364
Epoch 11: MAE=0.0318, Val_MAE=0.0277
Epoch 12: MAE=0.0306, Val_MAE=0.0315
Epoch 13: MAE=0.0299, Val_MAE=0.0222
Epoch 14: MAE=0.0286, Val_MAE=0.0299
Epoch 15: MAE=0.0281, Val_MAE=0.0225
Epoch 16: MAE=0.0267, Val_MAE=0.0203
Epoch 17: MAE=0.0236, Val_MAE=0.0168
Epoch 18: MAE=0.0212, Val_MAE=0.0187
Epoch 19: MAE=0.0209, Val_MAE=0.0199
Epoch 20: MAE=0.0206, Val_MAE=0.0196
Epoch 21: MAE=0.0203, Val_MAE=0.0196
Epoch 22: MAE=0.0201, Val_MAE=0.0194
Epoch 17: MAE=0.0461, Val_MAE=0.0191
Epoch 18: MAE=0.0455, Val_MAE=0.0185
Epoch 19: MAE=0.0453, Val_MAE=0.0186
Epoch 20: MAE=0.0449, Val_MAE=0.0183
Epoch 21: MAE=0.0445, Val_MAE=0.0186
Epoch 22: MAE=0.0440, Val_MAE=0.0181
Epoch 0: MAE=0.0740, Val_MAE=0.2342
Epoch 1: MAE=0.0430, Val_MAE=0.0488
Epoch 2: MAE=0.0365, Val_MAE=0.0191
Epoch 3: MAE=0.0329, Val_MAE=0.0173
Epoch 4: MAE=0.0305, Val_MAE=0.0160
Epoch 5: MAE=0.0287, Val_MAE=0.0151
Epoch 6: MAE=0.0273, Val_MAE=0.0143
Epoch 7: MAE=0.0262, Val_MAE=0.0137
Epoch 8: MAE=0.0253, Val_MAE=0.0132
Epoch 9: MAE=0.0245, Val_MAE=0.0127
Epoch 10: MAE=0.0238, Val_MAE=0.0123
Epoch 11: MAE=0.0233, Val_MAE=0.0120
Epoch 12: MAE=0.0227, Val_MAE=0.0117
Epoch 13: MAE=0.0223, Val_MAE=0.0114
Epoch 14: MAE=0.0219, Val_MAE=0.0111
Epoch 15: MAE=0.0215, Val_MAE=0.0109
Epoch 16: MAE=0.0212, Val_MAE=0.0107
Epoch 0: MAE=0.4253, Val_MAE=0.0621
Epoch 1: MAE=0.1298, Val_MAE=0.0814
Epoch 2: MAE=0.1075, Val_MAE=0.0804
Epoch 3: MAE=0.0989, Val_MAE=0.0743
Epoch 4: MAE=0.0933, Val_MAE=0.0663
Epoch 5: MAE=0.0887, Val_MAE=0.0585
Epoch 6: MAE=0.0851, Val_MAE=0.0492
Epoch 7: MAE=0.0817, Val_MAE=0.0468
Epoch 8: MAE=0.0782, Val_MAE=0.0426
Epoch 9: MAE=0.0757, Val_MAE=0.0391
Epoch 10: MAE=0.0738, Val_MAE=0.0365
Epoch 11: MAE=0.0715, Val_MAE=0.0386
Epoch 12: MAE=0.0698, Val_MAE=0.0321
Epoch 13: MAE=0.0680, Val_MAE=0.0332
Epoch 14: MAE=0.0662, Val_MAE=0.0301
Epoch 15: MAE=0.0648, Val_MAE=0.0268
Epoch 16: MAE=0.0633, Val_MAE=0.0213
Epoch 0: MAE=1.3937, Val_MAE=0.5130
Epoch 1: MAE=1.2839, Val_MAE=0.3972
Epoch 2: MAE=1.2213, Val_MAE=0.3014
Epoch 3: MAE=1.1827, Val_MAE=0.2493
Epoch 4: MAE=1.1554, Val_MAE=0.2244
Epoch 5: MAE=1.1267, Val_MAE=0.2142
Epoch 6: MAE=1.1035, Val_MAE=0.2091
Epoch 7: MAE=1.0824, Val_MAE=0.2056
Epoch 8: MAE=1.0599, Val_MAE=0.2029
Epoch 9: MAE=1.0424, Val_MAE=0.2003
Epoch 10: MAE=1.0227, Val_MAE=0.1977
Epoch 11: MAE=1.0026, Val_MAE=0.1949
Epoch 12: MAE=0.9821, Val_MAE=0.1925
Epoch 13: MAE=0.9651, Val_MAE=0.1908
Epoch 14: MAE=0.9467, Val_MAE=0.1881
Epoch 15: MAE=0.9316, Val_MAE=0.1857
Epoch 16: MAE=0.9157, Val_MAE=0.1834
Epoch 0: MAE=1.1167, Val_MAE=0.2391
Epoch 1: MAE=0.9645, Val_MAE=0.2397
Epoch 2: MAE=0.8822, Val_MAE=0.2071
Epoch 3: MAE=0.8233, Val_MAE=0.1852
Epoch 4: MAE=0.7794, Val_MAE=0.1727
Epoch 5: MAE=0.7477, Val_MAE=0.1583
Epoch 6: MAE=0.7147, Val_MAE=0.1524
Epoch 7: MAE=0.6891, Val_MAE=0.1409
Epoch 8: MAE=0.6628, Val_MAE=0.1324
Epoch 9: MAE=0.6393, Val_MAE=0.1233
Epoch 10: MAE=0.6169, Val_MAE=0.1134
Epoch 11: MAE=0.5937, Val_MAE=0.1123
Epoch 12: MAE=0.5740, Val_MAE=0.1017
Epoch 13: MAE=0.5529, Val_MAE=0.0980
Epoch 14: MAE=0.5329, Val_MAE=0.0894
Epoch 15: MAE=0.5161, Val_MAE=0.0880
Epoch 16: MAE=0.4974, Val_MAE=0.0793
Epoch 0: MAE=0.1893, Val_MAE=0.1087
Epoch 1: MAE=0.0515, Val_MAE=0.0269
Epoch 2: MAE=0.0389, Val_MAE=0.0126
Epoch 3: MAE=0.0352, Val_MAE=0.0116
Epoch 4: MAE=0.0330, Val_MAE=0.0109
Epoch 5: MAE=0.0317, Val_MAE=0.0119
Epoch 6: MAE=0.0306, Val_MAE=0.0125
Epoch 7: MAE=0.0298, Val_MAE=0.0113
